asin,product_title,brand,price,discount_percent,rating,review_count,category,product_link,search_term,value_score,device_type,is_wired,has_mic
B08ZNRHJFX,philips audio taa4216 onear sports bluetooth headphones with ip55 dustwater protection 35 hours play time cooling  washable ear cups quick charge 40 mm drivers and builtin mic black,philips,2999.0,67.0,4.0,2200.0,audio,https://www.amazon.in/dp/B08ZNRHJFX,headphones,0.001333777925975325,headphones,0,1
B0BZP2H373,sony wh1000xm5 best active noise cancelling wireless bluetooth over ear headphones with mic for clear callingbattery life 30 hoursmid night blue,sony,26990.0,23.0,4.4,12200.0,audio,https://www.amazon.in/dp/B0BZP2H373,headphones,0.00016302334197851057,headphones,0,1
B0FDPZ868C,zebronics thunder neo wireless over ear headphone upto 60 hours backup gaming mode dual pairing rapid charge bt v54 aux 3 eq modes enc for callling voice assistant deep bass black,zebronics,999.0,47.0,4.1,260.0,audio,https://www.amazon.in/dp/B0FDPZ868C,headphones,0.004104104104104104,headphones,1,0
B0BYWKRJVY,jbl tune 720bt wireless over ear headphones with mic pure bass sound upto 76 hrs playtime speedcharge dual pairing customizable bass with headphones app lightweight bluetooth 53 blue,jbl,5499.0,15.0,4.0,11200.0,audio,https://www.amazon.in/dp/B0BYWKRJVY,headphones,0.0007274049827241316,headphones,0,1
B0DG4SFV41,jabra evolve 65te  usba ms stereo  btheadset bt donglepcon earblack,jabra,15016.0,50.0,4.0,156.0,audio,https://www.amazon.in/dp/B0DG4SFV41,headphones,0.0002663825253063399,headphones,0,0
B09ZFDYKP3,sony wh1000xm5 wireless noisecancelling headphones foldable with fast charging  silver,sony,29990.0,14.0,4.5,607.0,audio,https://www.amazon.in/dp/B09ZFDYKP3,headphones,0.00015005001667222408,headphones,0,0
B0DG2PVL35,amazon basics pro series wired usb on ear headset with mic  40 mm driver  computerpc or laptop headphone  noise cancellation microphone  inline control for home office teams or zoom black,amazon,2099.0,48.0,4.1,707.0,audio,https://www.amazon.in/dp/B0DG2PVL35,headphones,0.001953311100524059,headphones,1,1
B0FMDLD86P,oneplus nord buds 3r tws earbuds up to 54 hours playback 2mic clear calls 3d spatial audio ai translation 124mm drivers dualdevice connectivity 47ms low latency  aura blue,oneplus,1799.0,10.0,4.2,40600.0,audio,https://www.amazon.in/dp/B0FMDLD86P,headphones,0.0023346303501945525,earbuds,0,0
B0FQV27MZK,cosmic byte cryocore 71 surround wired gaming headset with noisecancelling mic honeycomb metal design braided cable pc software  ps4ps5 3d audio support black,cosmic,1599.0,64.0,3.7,112.0,audio,https://www.amazon.in/dp/B0FQV27MZK,headphones,0.0023139462163852408,headphones,1,1
B083T4XJDY,sennheiser hd 450bt wireless headphones german design anc alexa builtin 30h battery comfortable  lightweight over ear design builtin mic for clear calls fast charging 2y warranty black,sennheiser,6989.0,59.0,3.8,6200.0,audio,https://www.amazon.in/dp/B083T4XJDY,headphones,0.0005437115467162684,headphones,0,1
B0F7LZ2GW2,boat 2025 launch rockerz 421 40h battery low latency40ms 40mm drivers enx tech stream ad free music via app support bluetooth headphones wireless over ear headphone with mic sage green,boat,1199.0,52.0,3.9,1700.0,audio,https://www.amazon.in/dp/B0F7LZ2GW2,headphones,0.0032527105921601332,headphones,0,1
B0DT9T945X,goboult x mustang q over ear bluetooth headphones 70h playtime 40mm bass drivers zen enc mic typec fast charging 4 eq mode bluetooth 54 aux option ipx5 wireless headphones,goboult,2099.0,70.0,4.0,1100.0,audio,https://www.amazon.in/dp/B0DT9T945X,headphones,0.0019056693663649356,headphones,1,1
B0DQQ4Q286,hammer vibe enc bluetooth headphone 40mm driver dual pairing 50hrs playtime voice assistant bt v54 game mode soft cushions lightweight headphones for music gaming and calls beige,hammer,1099.0,78.0,3.8,323.0,audio,https://www.amazon.in/dp/B0DQQ4Q286,headphones,0.003457688808007279,headphones,0,0
B0D5HWH2W7,wecool moonwalk m2 bone conduction headphones v53 bluetooth earphones with ipx6 sweat  splash resistance open ear headphones for ear health  comfort ideal for sports running climbing cycling,wecool,2445.0,73.0,3.6,5300.0,audio,https://www.amazon.in/dp/B0D5HWH2W7,headphones,0.00147239263803681,headphones,0,0
B0DRSRH3GG,qcy h3 pro hires ldac anc headphones with dualchip 40mm titanium drivers 3mic enc 3d spatial audio 60ms low latency 55h playtime10min2h fast charge ipx4 dual pairing smart app,qcy,4999.0,17.0,4.2,122.0,audio,https://www.amazon.in/dp/B0DRSRH3GG,headphones,0.0008401680336067214,headphones,0,0
B0G2BBS19W,wireless bluetooth headphones with deep bass sound foldable design  comfortable cushioned earpads for music calls,wireless,329.0,67.0,3.6,17.0,audio,https://www.amazon.in/dp/B0G2BBS19W,headphones,0.01094224924012158,headphones,0,0
