asin,product_title,brand,price,discount_percent,rating,review_count,category,product_link,search_term
B0F8W13YV4,"PHILIPS Audio TAS2400BK Portable Bluetooth Speaker with Stereo Sound, 32W RMS, 2400mAh Rechargeable Battery, BT v5.3 Connectivity, IPX4 Waterproof, Supports TF/USB/BT Modes with Hanging Strap (Black)",PHILIPS,1999,(43% off),4.0,139,Audio,https://www.amazon.in/dp/B0F8W13YV4,bluetooth speakers
B06XGG6MFV,Edifier R1280DB Powered Bluetooth Bookshelf Speakers - Optical Input - Wireless Studio Monitors - 4 Inch Near Field Speaker - 42w RMS - Black,Edifier,12900,(24% off),4.3,1.2K,Audio,https://www.amazon.in/dp/B06XGG6MFV,bluetooth speakers
B0G5PXZJ71,"Blaupunkt ATOMIK OMG ATOM 60W Portable Bluetooth Speaker, Advanced DSP Sound, 100 Years German Legacy Audio, Jazzy Aura Party Neon Lights, IPX6 Splashproof & Dustproof, Wireless Outdoor Travel Speaker",Blaupunkt,4999,(75% off),3.0,7,Audio,https://www.amazon.in/dp/B0G5PXZJ71,bluetooth speakers
B0DL9DHKF1,"ZEBRONICS Sound Feast 40 Portable Bluetooth Speaker, 8 Watts, Dual 5.2cm Drivers, Passive Radiator, Upto 16 Hours Playback, BTv5.3 | USB | mSD |TWS, Call Function, Deep (Black), Model : Zeb-PSPK 48",ZEBRONICS,699,(42% off),3.8,2.2K,Audio,https://www.amazon.in/dp/B0DL9DHKF1,bluetooth speakers
B0G64V2LFN,"Philips TAS4400BK/94 Wireless Bluetooth Speaker, 40W, 8H Playtime, 52mm Driver, IPX4 Resistant, LED Indicator, 3600mAh Battery, USB-C Charging, TWS/AUX/TF Input, Magnetically Attachable (Deep Black)",Philips,2999,(50% off),3.9,22,Audio,https://www.amazon.in/dp/B0G64V2LFN,bluetooth speakers
B0DNFV8YQB,"Portronics Apollo One 20W Wireless Bluetooth Portable Speaker with Wireless Karaoke Mic, 5 Hour Playtime, RGB LED Light, Bluetooth V5.3, Easy Grab Handle, USB/AUX in/TF Card, Type C Charging(Black)",Portronics,1299,(48% off),4.1,1.6K,Audio,https://www.amazon.in/dp/B0DNFV8YQB,bluetooth speakers
B0DH8CDH9J,"Boat Stone 193 Pro / Stone190 Pro with 5W Signature Sound, Up to 12hrs of Playtime, TWS Feature, Built-in Mic, Bluetooth v5.3, AUX Port, TF Card, IPX6 & Type-C Bluetooth Speaker (Tropical Blue)",Boat,999,(67% off),3.8,1.1K,Audio,https://www.amazon.in/dp/B0DH8CDH9J,bluetooth speakers
B09NZV378R,"ZEBRONICS Zeb-VITA Wireless Bluetooth 10W Portable Bar Speaker with Supporting USB,Playback time 5 Hours SD Card, AUX, TWS & Call Function. (Grey)",ZEBRONICS,899,(55% off),3.8,15.5K,Audio,https://www.amazon.in/dp/B09NZV378R,bluetooth speakers
B0DXF4625B,"Fire turtle Vintage Bluetooth Wireless Speaker | 10W RMS Loud Sound | Retro Design with Type-C Charging, 8H Battery Backup, USB & AUX Input, Portable Home & Outdoor Speaker",Fire,530,(73% off),4.0,146,Audio,https://www.amazon.in/dp/B0DXF4625B,bluetooth speakers
B0BBYDS7PK,"Marshall Acton III 60 W Bluetooth Powered Home Speaker, Brown",Marshall,27999,(13% off),4.6,1.9K,Audio,https://www.amazon.in/dp/B0BBYDS7PK,bluetooth speakers
B0F3L5WXVN,"Nu Republic Partybox 165 with 10 Hrs Playtime, Dual 52mm Dynamic Driver, Mic for Receiving Calls, 16 W Bluetooth Soundbar (Black, 2.0 Channel)",Nu,599,(85% off),3.8,146,Audio,https://www.amazon.in/dp/B0F3L5WXVN,bluetooth speakers
B0DTYYS3XY,"ZEBRONICS Sound Feast 85, Portable Bluetooth Speaker, 30 Watts, Upto 7 Hours Playback, Dual Passive Radiator, BTv5.3 | TWS | USB, RGB LED, Call Function, Carry Strap, Deep Bass (Black)",ZEBRONICS,2499,(38% off),4.0,449,Audio,https://www.amazon.in/dp/B0DTYYS3XY,bluetooth speakers
B0FB44F3NZ,"Mivi SuperBox Classic 120W Portable Bluetooth Speaker [New Launch] | Premium Sound with Built-in Subwoofer, Bass & Treble Control Knobs, AUX & USB Support | Made in India",Mivi,4999,(75% off),3.9,184,Audio,https://www.amazon.in/dp/B0FB44F3NZ,bluetooth speakers
B0G5RWMRCM,"Krisons Bullet Bluetooth Speaker 10W Multi-Media Bluetooth Party Speaker with RGB Lights, USB, SD Card - Black",Krisons,399,(80% off),5.0,4,Audio,https://www.amazon.in/dp/B0G5RWMRCM,bluetooth speakers
B0DXKNBQS6,"JBL Charge 6, Powerful Pro Sound with AI Sound Boost Wireless Portable Bluetooth Speaker,28 Hrs Playtime, Auracast Multi-Speaker Connection, Built in Power Bank, IP68 Waterproof & dustproof, Black",JBL,19999,(26% off),4.7,2.5K,Audio,https://www.amazon.in/dp/B0DXKNBQS6,bluetooth speakers
B0FDFTD8K2,"Boat Stone Arc Pro Plus, Spatial Audio, 45W Signature Sound, 78mm Drivers,12 Hrs Battery, Broadcast & App Support, Bluetooth Speaker, Wireless Speaker, Portable Speaker (Raging Black)",Boat,2999,(73% off),3.5,215,Audio,https://www.amazon.in/dp/B0FDFTD8K2,bluetooth speakers
B0BWXM3RRK,"soundcore Motion X600 Portable Bluetooth Speaker, Hi-Res Spatial Audio with Wireless 50W Sound, IPX7 Waterproof, Pro EQ, AUX-in, Portable Speaker for Home, Office, Backyard and Bathroom Use",soundcore,18999,(27% off),4.7,3.1K,Audio,https://www.amazon.in/dp/B0BWXM3RRK,bluetooth speakers
B09H4DVF43,"Portronics SoundDrum 1 10W TWS Portable Bluetooth 5.3 Speaker with Powerful Bass, Type C Charging Cable Included(Green)",Portronics,898,(64% off),4.1,12.7K,Audio,https://www.amazon.in/dp/B09H4DVF43,bluetooth speakers
B0CC5Y2PZW,"boAt Stone 580 Bluetooth Speaker with 12W RMS Stereo Sound, LED Lights, Up to 8 HRS Playtime, TWS Feature, FM Radio, Multi-Compatibility Mode, IPX4(Pine Green)",boAt,1599,(68% off),3.8,1.9K,Audio,https://www.amazon.in/dp/B0CC5Y2PZW,bluetooth speakers
