asin,product_title,brand,price,discount_percent,rating,review_count,category,product_link,search_term,value_score,device_type,is_wired,has_mic,cluster,segment
B0BVZLS5GZ,emeet conference speakerphone m0 plus 4 ai mics 360 voice pickup noise reduction usb c speaker bluetooth conference speaker for 8 people wdaisy chain for 16 compatible with leading software,emeet,8.66561319653451,35.0,4.2,7.313886831633462,audio,https://www.amazon.in/dp/B0BVZLS5GZ,bluetooth speakers,0.0007242628039317,speakers,0,0,2,Premium
B09QCYZS5N,invicto portable bluetooth speaker with usbmicro sd cardauxmic multimedia speaker,invicto,6.018593214496234,41.0,3.8,4.6443908991413725,audio,https://www.amazon.in/dp/B09QCYZS5N,bluetooth speakers,0.0092682926829268,speakers,0,0,1,Popular
B0DJYBLFNX,ultimate ears miniroll ultraportable waterproof bluetooth speaker big bass ip67 dustproof 40 m 131 ft range  gentle black,ultimate,8.691146498539675,40.0,3.6,3.1354942159291497,audio,https://www.amazon.in/dp/B0DJYBLFNX,bluetooth speakers,0.0006051437216338,speakers,0,0,2,Premium
B0CC2NJ8ML,klipsch the nashville portable bluetooth speaker with a 225 full range drivers for 360 degree audio ip67 dust and waterproof rating 24 hours of playtime for a premium live concert experience,klipsch,9.792053072089823,0.0,4.6,6.628041376179533,audio,https://www.amazon.in/dp/B0CC2NJ8ML,bluetooth speakers,0.0002571268865287,speakers,0,0,2,Premium
B0FDBDQ846,zebronics studio r3 portable bluetooth speaker 140w rms 6 drivers  dual passive radiators 3eq modes upto 13 hrs playback 6000mah battery bt v52 usb  aux  msd tws wired mic metal finish,zebronics,9.169414205363537,62.0,3.6,3.091042453358316,audio,https://www.amazon.in/dp/B0FDBDQ846,bluetooth speakers,0.0003750781412794,earbuds,1,1,2,Premium
B08TV2P1N8,boat rockerz 255 pro 60hrs battery fast charge ipx7 dual pairing low latency magnetic earbuds in ear bluetooth neckband wireless with mic earphones active black,boat,7.003065458786462,72.0,4.0,11.849404844423074,audio,https://www.amazon.in/dp/B08TV2P1N8,neckband,0.0036396724294813,earbuds,0,1,1,Popular
B0D25PCFXZ,noise airwave pro bluetooth in ear neckband with upto 32 db anc 60h of playtime dual device pairing 3 mic enc for calling low latencyupto 40ms 13mm driver metallic blue,noise,7.170119543449628,68.0,3.6,7.0909098220799835,audio,https://www.amazon.in/dp/B0D25PCFXZ,neckband,0.002771362586605,neckband,0,1,1,Popular
B0FCCH3KMZ,kratos n4 bluetooth neckband with 52h playtime deep bass stereo sound hd calls magnetic earbuds typec fast charging rich audio hollow switch for comfort  style,kratos,5.991464547107982,73.0,3.6,7.438971592395862,audio,https://www.amazon.in/dp/B0FCCH3KMZ,neckband,0.0090225563909774,earbuds,0,0,1,Popular
B0FBRGQ7PM,oneplus bullets wireless z3 inear neckband with 124mm drivers 3d spatial audio10 mins charge for 27 hrs playback ai call noise cancellation 4 eq preset dynamic bass enhancement  bt54,oneplus,7.438383530044307,15.0,4.1,12.301387370778713,audio,https://www.amazon.in/dp/B0FBRGQ7PM,neckband,0.0024131842260153,neckband,0,0,1,Popular
B0FC1SFX45,realme buds wireless 5 lite in ear bluetooth neckband with 124 mm dynamic bass boost driverupto 35 hours playback45ms low latencyip55 dust  water resistant bluetooth v54 void black,realme,6.877296071497429,52.0,4.0,11.421917019425596,audio,https://www.amazon.in/dp/B0FC1SFX45,neckband,0.0041279669762641,earbuds,0,0,1,Popular
B0DVC6MP1D,realme buds wireless 3 neo in ear bluetooth neckband with 134 mm dynamic bass boost driverupto 32 hours playbackfast chargeai enc45ms low latencyip55 dustwater resistanntbluetooth v 54 black,realme,7.170119543449628,48.0,4.2,7.901377353792616,audio,https://www.amazon.in/dp/B0DVC6MP1D,neckband,0.0032332563510392,earbuds,0,0,1,Popular
B0GPJTNH9F,shreeadr urbanbeats sport series wireless bluetooth neckband earphones  370h standby long battery backup lightweight wireless inear headphones with mic deep bass sweatresistant for sports  running black,shreeadr,5.598421958998375,73.0,3.0,1.791759469228055,audio,https://www.amazon.in/dp/B0GPJTNH9F,neckband,0.0111524163568773,neckband,0,1,3,Low Rated
B0GFX8NB2T,compatible one plus neckband jo25 wireless bluetooth 53  fast charge deep bass boost  40 hours playback  compatible with oneplus nord ce 2t 11rt 9rt 12,compatible,6.100318952020064,72.0,2.2,1.791759469228055,audio,https://www.amazon.in/dp/B0GFX8NB2T,neckband,0.0049438202247191,neckband,0,0,3,Low Rated
B0DZXQVXMZ,boat 2025 launch airdopes plus 311glass designenx tech50 h battery fast charge stream ad free music via app support bluetooth earbuds tws ear buds wireless earphones with mic midnight blue,boat,6.907755278982137,75.0,3.7,8.824824939175638,audio,https://www.amazon.in/dp/B0DZXQVXMZ,neckband,0.0037037037037037,earbuds,0,1,1,Popular
B0DNPZFSV4,realme buds wireless 5 anc in ear bluetooth headphones50db anc 136mm dynamic bass driver360 spatial audio45ms low latencyupto 38hrs playbackip55 ratingdual device connection dawn silver,realme,7.495541943884256,28.0,4.0,11.421917019425596,audio,https://www.amazon.in/dp/B0DNPZFSV4,neckband,0.0022234574763757,earbuds,0,0,1,Popular
B0GPD8F2KR,original for oneplus bluetooth neckband earphones z2 anc  124mm bass drivers  45db active noise cancellation  long 28h battery life  fast charging  lightweight flexible design  booming black,original,6.684611727667927,69.0,4.0,0.0,audio,https://www.amazon.in/dp/B0GPD8F2KR,neckband,0.0050062578222778,neckband,0,0,0,High Rated
B0GBZG1D37,realmebuds wireless 3 bluetooth neckband headphones compatible with realme devices 134mm bass driver 32h playback ai enc ip55 dust  water resistantt bluetooth 54 black,realmebuds,6.202535517187923,80.0,1.8,3.784189633918261,audio,https://www.amazon.in/dp/B0GBZG1D37,neckband,0.0036511156186612,earbuds,0,0,3,Low Rated
B0BGS4GSMJ,zebronics jumbo lite with 70 hours backup bluetooth v52 wireless neckband fast charging enc calling gaming mode upto 50ms voice assistant dual pairing splash proof and type c navy,zebronics,6.396929655216146,70.0,3.5,6.499787040655854,audio,https://www.amazon.in/dp/B0BGS4GSMJ,neckband,0.0058430717863105,neckband,0,1,1,Popular
B0D17H5WSM,hammer splendor in ear bluetooth neckband with magnetic earbuds deep bass builtin mic upto 30 hrs playtime bt 54 typec charging port black,hammer,5.991464547107982,84.0,3.4,6.872128101338986,audio,https://www.amazon.in/dp/B0D17H5WSM,neckband,0.0085213032581453,earbuds,0,1,1,Popular
B0GRGVMV7F,cmff neckband pro with 61 db anc ultra bass technology  upto 51 hours of battery life bluetooth headset4hd micsusbc13mm driverseasy use for iphoneapple compatible light grey neckband pro,cmff,7.003065458786462,84.0,2.3,2.0794415416798357,audio,https://www.amazon.in/dp/B0GRGVMV7F,neckband,0.0020928116469517,neckband,0,0,3,Low Rated
B0GHG13Y11,portronics harmonics z11 pro inear bluetooth earphone neckband with vibration alert  magnetic latch onoff upto 35 hours playtimehd call clarity bt 54v type c fast chargingblack,portronics,6.551080335043404,72.0,4.6,2.4849066497880004,audio,https://www.amazon.in/dp/B0GHG13Y11,neckband,0.0065808297567954,neckband,0,0,0,High Rated
B09GFVB6N8,zebronics zebevolve btv50 voice assistant rapid charge dual pairing call function magnetic earpiece bluetooth wireless in ear earphones with mic metallic green,zebronics,6.1092475827643655,70.0,3.8,7.550135342488429,audio,https://www.amazon.in/dp/B09GFVB6N8,neckband,0.0084632516703786,earphones,0,1,1,Popular
B0G52T9YP2,ptron bassbuds nx tws ear buds wsmart touch display 55hrs playtime dual mics trutalk aienc calls 5 music equalisers btv60 voice assistant type c charging ipx5 water resistant pearl black,ptron,7.170119543449628,68.0,4.0,3.912023005428146,audio,https://www.amazon.in/dp/B0G52T9YP2,neckband,0.0030792917628945,earbuds,0,0,0,High Rated
